date,hour,station_id,charging_sessions,energy_kwh,peak_demand_kw,temperature_c,day_type
2024-01-01,08,station_01,12,145.2,88.4,4.8,week_day
2024-01-01,12,station_01,18,214.7,121.0,7.2,week_day
2024-01-01,18,station_01,23,278.6,154.9,6.5,week_day
2024-01-02,08,station_01,14,166.3,96.1,3.1,week_day
2024-01-02,12,station_01,20,235.8,129.7,5.9,week_day
2024-01-02,18,station_01,25,302.5,168.3,5.3,week_day
2024-01-03,08,station_01,11,132.4,82.2,2.7,weekend
2024-01-03,12,station_01,17,203.8,116.5,4.4,weekend
2024-01-03,18,station_01,21,252.9,141.2,4.0,weekend
2024-01-04,08,station_01,13,156.1,90.8,3.8,week_day
