state,Population,Cities_In_Dataset,Charging_Stations,Total_Connectors,Total_Vehicles,EV_Registrations,EV_Proportion,EVs_per_Station,Population_per_Station,Connectors_per_Station,EVs_per_1000_People,EV_Reg_Scaled,Population_Scaled,EVs_per_Station_Scaled,Population_per_Station_Scaled,Demand_Score,Demand_Level,Recommendation
andhra pradesh,4688183,11,6.0,9.0,16517516.0,66500.0,0.4,11083.333333333334,781363.8333333334,1.5,14.184599875900748,0.1157167935309156,0.09801052504666787,0.07034050858229615,0.06931799595311199,8.65,Medium,Moderate priority - monitor infrastructure demand
assam,3111231,2,2.0,2.0,5393542.0,116605.0,2.16,58302.5,1555615.5,1.0,37.47873430163173,0.20611546420768329,0.0635233736730107,0.3743969718004347,0.13855693303598685,24.57,High,High priority for charging infrastructure expansion
bihar,11188544,62,1.0,2.0,11728184.0,155457.0,1.33,155457.0,11188544.0,2.0,13.89430117091196,0.27621164529008585,0.24017016832713395,1.0000000000000002,1.0,70.69,High,High priority for charging infrastructure expansion
delhi,19705577,14,32.0,33.0,8457200.0,229305.0,2.71,7165.78125,615799.28125,1.03125,11.636553448802845,0.4094470715377246,0.4264334194124133,0.04511437447154627,0.05451206901955385,19.44,High,High priority for charging infrastructure expansion
gujarat,26841815,9,30.0,34.0,22799866.0,134273.0,0.59,4475.766666666666,894727.1666666666,1.1333333333333333,5.002381545361221,0.237991798176691,0.5824993745869808,0.02779267275691313,0.07945572899534627,15.67,High,High priority for charging infrastructure expansion
haryana,2312333,3,28.0,35.0,12092054.0,67812.0,0.56,2421.8571428571427,82583.32142857143,1.25,29.326225937181196,0.11808388375999292,0.046051874059761855,0.014567016531589906,0.006828211324281698,4.72,Low,Lower relative priority
himachal pradesh,206575,1,1.0,1.0,2145062.0,2362.0,0.11,2362.0,206575.0,1.0,11.434103836379037,0.0,0.0,0.014181580861283304,0.017916404480349195,0.93,Low,Lower relative priority
jammu and kashmir,1205365,3,1.0,1.0,2048212.0,10225.0,0.5,10225.0,1205365.0,1.0,8.482907666972244,0.01418630371283154,0.021843037657769578,0.06481347759003167,0.10723511175124678,5.38,Low,Lower relative priority
jharkhand,2919897,7,2.0,2.0,7056955.0,35331.0,0.5,17665.5,1459948.5,1.0,12.100084352290509,0.05948216292869682,0.05933899480737159,0.1127247872187042,0.130001728469977,9.49,Medium,Moderate priority - monitor infrastructure demand
karnataka,10842253,21,365.0,570.0,29855843.0,239948.0,0.8,657.3917808219178,29704.802739726027,1.5616438356164384,22.13082465424852,0.4286490085103389,0.23259695738835132,0.0032051663481966596,0.0020994485896851647,15.36,Medium,Moderate priority - monitor infrastructure demand
kerala,13472204,35,591.0,946.0,16643512.0,94346.0,0.57,159.63790186125212,22795.60744500846,1.6006768189509306,7.0030115339702395,0.16595611862153076,0.2901126701318597,0.0,0.0014815805773839388,7.91,Low,Lower relative priority
madhya pradesh,8705943,10,7.0,8.0,19604968.0,92388.0,0.47,13198.285714285714,1243706.142857143,1.1428571428571428,10.61206120922225,0.162423525124173,0.185876926372152,0.08395923559979601,0.1106638418299308,12.3,Medium,Moderate priority - monitor infrastructure demand
maharashtra,45932358,13,72.0,83.0,34371551.0,296885.0,0.86,4123.402777777777,637949.4166666666,1.1527777777777777,6.46352621391656,0.5313738685507164,1.0,0.02552371027018257,0.05649288727093,28.09,High,High priority for charging infrastructure expansion
odisha,2304399,8,370.0,384.0,10637750.0,60097.0,0.56,162.42432432432432,6228.105405405406,1.037837837837838,26.07925103248179,0.1041645993717829,0.04587836144872576,1.7942497061291607e-05,0.0,3.58,Low,Lower relative priority
puducherry,244377,1,1.0,1.0,1329787.0,4421.0,0.33,4421.0,244377.0,1.0,18.090900534829384,0.003714816144565706,0.0008267108296428731,0.027440015983309612,0.021296920677201858,1.64,Low,Lower relative priority
punjab,4911157,11,2.0,3.0,13175075.0,34162.0,0.26,17081.0,2455578.5,1.5,6.955998352323088,0.057373071101111915,0.10288685488447513,0.1089610400944573,0.21903784669315082,11.49,Medium,Moderate priority - monitor infrastructure demand
rajasthan,5108962,3,45.0,48.0,18914170.0,175595.0,0.93,3902.1111111111113,113532.48888888888,1.0666666666666667,34.36999531411664,0.31254431528487175,0.10721275128301247,0.024098755823584676,0.009595899856071247,11.6,Medium,Moderate priority - monitor infrastructure demand
tamil nadu,25924041,49,206.0,252.0,31643747.0,167216.0,0.53,811.7281553398059,125844.85922330097,1.2233009708737863,6.450228959289179,0.2974270523051165,0.5624281163211573,0.004198978299879114,0.010696957137091517,14.93,Medium,Moderate priority - monitor infrastructure demand
uttar pradesh,22357731,12,29.0,36.0,43943230.0,556629.0,1.27,19194.103448275862,770956.2413793104,1.2413793103448276,24.8964888252748,0.9999999999999999,0.4844347006589258,0.12256786135482427,0.06838727712419265,41.11,High,High priority for charging infrastructure expansion
uttarakhand,14201930,7,12.0,13.0,3626246.0,48250.0,1.33,4020.8333333333335,1183494.1666666667,1.0833333333333333,3.3974255611737276,0.08279042410967999,0.3060714127082307,0.02486323901002281,0.10527927062321128,8.64,Low,Lower relative priority
west bengal,28436178,47,7.0,9.0,15020616.0,67111.0,0.45,9587.285714285714,4062311.1428571427,1.2857142857142858,2.360056966868051,0.11681915033729232,0.6173672958208282,0.06070706987583438,0.36272298830445326,19.36,High,High priority for charging infrastructure expansion
